text,label_class,label
site的联系方式是什么,联系,4
site的联系方式有啥,联系,4
site有联系方式,联系,4
我该怎么联系到site,联系,4
我该怎样联系上site,联系,4
我该如何联系site,联系,4
怎么联系site,联系,4
怎样联系到site,联系,4
如何联系site,联系,4
site的电话是什么,电话,5
site的电话是啥,电话,5
site的电话是多少,电话,5
site有电话,电话,5
site的电话,电话,5
site的网址是什么,网站,6
site的官网是啥,网站,6
site的网址是啥,网站,6
site有官网,网站,6
site的官方网站是什么,网站,6
site有官方网站没有,网站,6
site是怎么样的地方,介绍,7
听说site很不错，能介绍一下,介绍,7
什么是site,介绍,7
site主要有什么特殊,介绍,7
site有什么特点,介绍,7
site是什么,介绍,7
能细说site,介绍,7
介绍下site,介绍,7
能介绍一下site,介绍,7
介绍一下site是干什么的,介绍,7
如何评价site,介绍,7
site是干什么的,介绍,7
site是弄啥的,介绍,7
site是啥,介绍,7
简单介绍下site,介绍,7
locale是怎么样的地方,介绍,7
听说locale很有名，能介绍一下,介绍,7
什么是locale,介绍,7
locale有什么特殊,介绍,7
locale有什么特点,介绍,7
locale是什么,介绍,7
细说locale,介绍,7
介绍下locale,介绍,7
能介绍一下locale,介绍,7
介绍一下locale是干什么的,介绍,7
如何评价locale,介绍,7
locale是弄啥的,介绍,7
locale是啥,介绍,7
简单介绍下locale,介绍,7
locale有没有餐厅,附属吃,8
locale附近有没有咖啡厅,附属吃,8
我好饿，locale有没有饭店,附属吃,8
locale附近有没有吃东西的地方,附属吃,8
在locale附近有没有餐厅,附属吃,8
在locale有没有咖啡厅,附属吃,8
好饿，在locale附近有没有饭店,附属吃,8
在locale有没有吃东西的地方,附属吃,8
饿死我了，locale附近有什么吃的吗,附属吃,8
locale这块有没有饭店,附属吃,8
locale这里有没有餐厅,附属吃,8
locale这块有没有啥餐厅,附属吃,8
locale这里有没有啥饭店,附属吃,8
推荐点locale这里的饭店,附属吃,8
我饿了，推荐点locale这里的餐厅,附属吃,8
locale有没有商店,附属买,9
locale附近有没有超市,附属买,9
locale这块有没有便利店,附属买,9
locale里有没有卖东西的地方,附属买,9
在locale附近有没有商店,附属买,9
在locale有没有超市,附属买,9
在locale这块有没有便利店,附属买,9
在locale这里有没有卖东西的地方,附属买,9
locale这块有商店,附属买,9
locale这里有超市,附属买,9
locale附近有便利店,附属买,9
locale这块有啥超市,附属买,9
locale这边有什么商店,附属买,9
locale这边有没有购物的地方,附属买,9
site有没有餐厅,附属吃,8
site附近有没有咖啡厅,附属吃,8
我好饿，site有没有饭店,附属吃,8
site附近有没有吃东西的地方,附属吃,8
好饿，在site附近有没有餐厅,附属吃,8
在site有没有咖啡厅,附属吃,8
在site附近有没有饭店,附属吃,8
饿死我了，site附近有什么吃的吗,附属吃,8
在site有没有吃东西的地方,附属吃,8
site这块有没有饭店,附属吃,8
site这里有没有餐厅,附属吃,8
site这块有没有啥餐厅,附属吃,8
site这里有没有啥饭店,附属吃,8
推荐点site这里的饭店,附属吃,8
我饿了，推荐点site这里的餐厅,附属吃,8
site有没有商店,附属买,9
site附近有没有超市,附属买,9
site这块有没有便利店,附属买,9
site里有没有卖东西的地方,附属买,9
在site附近有没有商店,附属买,9
在site有没有超市,附属买,9
在site这块有没有便利店,附属买,9
在site这里有没有卖东西的地方,附属买,9
site这块有商店,附属买,9
site这里有超市,附属买,9
site附近有便利店,附属买,9
site这块有啥超市,附属买,9
site这边有什么商店,附属买,9
site这边有没有购物的地方,附属买,9
country有哪些州,下属,10
country下面有哪些州,下属,10
state有哪些城市,下属,10
state下面有啥城市,下属,10
city有什么区,下属,10
city有哪些市辖区,下属,10
city下面有哪些区,下属,10
region有哪些地方值得介绍,下属,10
region有哪些重要的地方,下属,10
region有什么值得一去的地方,下属,10
locale里有什么地方,下属,10
locale里有哪些地方值得介绍,下属,10
locale里有哪些重要的地点,下属,10
locale里有什么好地方值得逛逛,下属,10
site这里有什么别的地方,同级,11
在site附近有啥别的地方,同级,11
在site这里有啥别的有关地方,同级,11
在site附近还有什么别的值得关注的地方,同级,11
site这块有什么别的值得介绍的地方,同级,11
在site附近有啥别的值得关注的地方,同级,11
site附近有啥别的值得关注的地方,同级,11
在site附近有啥重要的地方,同级,11
site附近还有啥值得关注的地方,同级,11
在site附近有什么别的重要的地方,同级,11
site这边有啥别的重要的地方,同级,11
site这里有啥值得关注的地方,同级,11
在site这里还有什么值得介绍的地方,同级,11
在site这边有什么值得关注的地方,同级,11
site这边有啥值得介绍的地方,同级,11
site这块还有什么值得关注的地方,同级,11
在site这块有啥值得介绍的地方,同级,11
site这里还有啥别的重要的地方,同级,11
在site这边有啥别的重要的地方,同级,11
在site这块有什么重要的地方,同级,11
和region同级的有哪几个区,同级,11
与region一样的有哪些区,同级,11
和region同级的有哪些辖区,同级,11
与region一样的有哪几个辖区,同级,11
和region同级的还有哪几个辖区,同级,11
和city同级的有哪几个市,同级,11
与city一样的有哪些市,同级,11
和city同级的有哪些城市,同级,11
与city一样的有哪几个城市,同级,11
和city同级的还有哪几个城市,同级,11
和state同级的有哪几个州,同级,11
与state同级的还有哪些州,同级,11
除了region，city下面还有哪几个区,除了同级,12
除region，city下面还有什么区,除了同级,12
除了region，city下还有什么辖区,除了同级,12
除了city，state下面还有哪几个城市,除了同级,12
除city，state下面还有什么区,除了同级,12
除了state，country下面还有哪几个州,除了同级,12
除state，country下面还有什么州,除了同级,12
除了site，locale下有什么地点,除了同级,12
除site，locale下还有什么重要地方,除了同级,12
country的首都是什么,首都,13
country的首都是哪个城市,首都,13
country首都是啥,首都,13
country的首都,首都,13
state的首府是什么,首都,13
state的首府是哪个城市,首都,13
state首府是啥,首都,13
state的首府,首都,13
site有什么分部,附属,14
site有什么附属地,附属,14
site的分部是啥,附属,14
site下有分校,附属,14
site的附属地点是啥,附属,14
site有附属,附属,14
site的附属是,附属,14
site的分部是什么,附属,14
site下有哪些附属,附属,14
site是什么的附属,附属,14
site是哪个的分部,附属,14
site是哪里的分校,附属,14
